index,Weight,Source,Target
"南京市,苏州市",582,南京市,苏州市
"岳阳市,长沙市",578,岳阳市,长沙市
"吴忠市,银川市",576,吴忠市,银川市
"太原市,吕梁市",572,太原市,吕梁市
"南宁市,河池市",568,南宁市,河池市
"温州市,重庆市",568,温州市,重庆市
"上海市,无锡市",568,上海市,无锡市
"嘉峪关市,酒泉市",563,嘉峪关市,酒泉市
"金华市,杭州市",562,金华市,杭州市
"孝感市,武汉市",559,孝感市,武汉市
"杭州市,宁波市",558,杭州市,宁波市
"乌鲁木齐市,克拉玛依市",558,乌鲁木齐市,克拉玛依市
"齐齐哈尔市,呼伦贝尔市",553,齐齐哈尔市,呼伦贝尔市
"六安市,合肥市",551,六安市,合肥市
"东莞市,佛山市",545,东莞市,佛山市
"武威市,金昌市",543,武威市,金昌市
"惠州市,深圳市",543,惠州市,深圳市
"达州市,重庆市",535,达州市,重庆市
"新乡市,郑州市",534,新乡市,郑州市
"德阳市,成都市",526,德阳市,成都市
"西宁市,海北藏族自治州",516,西宁市,海北藏族自治州
"郑州市,南阳市",514,郑州市,南阳市
"广州市,江门市",512,广州市,江门市
"中山市,广州市",511,中山市,广州市
"吉林市,长春市",508,吉林市,长春市
"绵阳市,成都市",505,绵阳市,成都市
"沈阳市,铁岭市",502,沈阳市,铁岭市
"上海市,南通市",500,上海市,南通市
"遵义市,黔东南苗族侗族自治州",499,遵义市,黔东南苗族侗族自治州
"昆明市,红河哈尼族彝族自治州",497,昆明市,红河哈尼族彝族自治州
"北京市,张家口市",494,北京市,张家口市
"郑州市,焦作市",490,郑州市,焦作市
"南京市,常州市",490,南京市,常州市
"黄石市,鄂州市",485,黄石市,鄂州市
"荆州市,武汉市",484,荆州市,武汉市
"上海市,嘉兴市",481,上海市,嘉兴市
"深圳市,中山市",481,深圳市,中山市
"温州市,宁波市",480,温州市,宁波市
"佛山市,肇庆市",477,佛山市,肇庆市
"南阳市,郑州市",476,南阳市,郑州市
"杭州市,温州市",473,杭州市,温州市
"上海市,宁波市",473,上海市,宁波市
"福州市,厦门市",472,福州市,厦门市
"台州市,宁波市",470,台州市,宁波市
"上海市,合肥市",468,上海市,合肥市
"昌吉回族自治州,乌鲁木齐市",467,昌吉回族自治州,乌鲁木齐市
"宁波市,杭州市",467,宁波市,杭州市
"昆明市,玉溪市",465,昆明市,玉溪市
"泉州市,福州市",465,泉州市,福州市
"铁岭市,沈阳市",461,铁岭市,沈阳市
"常德市,长沙市",461,常德市,长沙市
"梅州市,深圳市",460,梅州市,深圳市
"南宁市,钦州市",458,南宁市,钦州市
"天津市,北京市",457,天津市,北京市
"成都市,达州市",457,成都市,达州市
"惠州市,东莞市",456,惠州市,东莞市
"杭州市,重庆市",454,杭州市,重庆市
"广州市,肇庆市",452,广州市,肇庆市
"沈阳市,抚顺市",451,沈阳市,抚顺市
"佛山市,深圳市",451,佛山市,深圳市
"商丘市,郑州市",451,商丘市,郑州市
"台州市,杭州市",450,台州市,杭州市
"许昌市,郑州市",449,许昌市,郑州市
"宁德市,福州市",445,宁德市,福州市
"成都市,阿坝藏族羌族自治州",445,成都市,阿坝藏族羌族自治州
"郑州市,平顶山市",443,郑州市,平顶山市
"佛山市,东莞市",438,佛山市,东莞市
"海东市,西宁市",436,海东市,西宁市
"柳州市,南宁市",435,柳州市,南宁市
"铜仁市,黔东南苗族侗族自治州",435,铜仁市,黔东南苗族侗族自治州
"郑州市,驻马店市",434,郑州市,驻马店市
"嘉兴市,杭州市",432,嘉兴市,杭州市
"北京市,石家庄市",432,北京市,石家庄市
"南宁市,百色市",432,南宁市,百色市
"深圳市,长沙市",432,深圳市,长沙市
"郑州市,商丘市",429,郑州市,商丘市
"抚顺市,沈阳市",427,抚顺市,沈阳市
"东莞市,中山市",427,东莞市,中山市
"成都市,南充市",426,成都市,南充市
"中山市,佛山市",424,中山市,佛山市
"长沙市,湘西土家族苗族自治州",424,长沙市,湘西土家族苗族自治州
"温州市,上海市",423,温州市,上海市
"贵阳市,安顺市",420,贵阳市,安顺市
"中山市,珠海市",419,中山市,珠海市
"武汉市,荆州市",419,武汉市,荆州市
"武汉市,咸宁市",419,武汉市,咸宁市
"温州市,台州市",419,温州市,台州市
"成都市,凉山彝族自治州",417,成都市,凉山彝族自治州
"泉州市,漳州市",417,泉州市,漳州市
"洛阳市,郑州市",417,洛阳市,郑州市
"上海市,北京市",409,上海市,北京市
"郑州市,信阳市",408,郑州市,信阳市
"哈尔滨市,牡丹江市",407,哈尔滨市,牡丹江市
"苏州市,常州市",406,苏州市,常州市
"株洲市,湘潭市",400,株洲市,湘潭市
"银川市,吴忠市",399,银川市,吴忠市
"六盘水市,黔西南布依族苗族自治州",395,六盘水市,黔西南布依族苗族自治州
"广州市,韶关市",393,广州市,韶关市
"广州市,珠海市",393,广州市,珠海市
"福州市,泉州市",393,福州市,泉州市
"乌海市,阿拉善盟",389,乌海市,阿拉善盟
"恩施土家族苗族自治州,重庆市",388,恩施土家族苗族自治州,重庆市
"毕节市,贵阳市",387,毕节市,贵阳市
"龙岩市,厦门市",387,龙岩市,厦门市
"泉州市,莆田市",387,泉州市,莆田市
"南京市,淮安市",386,南京市,淮安市
"昌吉回族自治州,巴音郭楞蒙古自治州",386,昌吉回族自治州,巴音郭楞蒙古自治州
"贵阳市,毕节市",385,贵阳市,毕节市
"福州市,宁德市",384,福州市,宁德市
"广州市,湛江市",384,广州市,湛江市
"曲靖市,昆明市",383,曲靖市,昆明市
"内江市,成都市",380,内江市,成都市
"北京市,承德市",379,北京市,承德市
"深圳市,武汉市",378,深圳市,武汉市
"苏州市,南通市",378,苏州市,南通市
"深圳市,南宁市",378,深圳市,南宁市
"成都市,乐山市",378,成都市,乐山市
"南京市,滁州市",376,南京市,滁州市
"乐山市,成都市",375,乐山市,成都市
"杭州市,台州市",374,杭州市,台州市
"遵义市,黔南布依族苗族自治州",373,遵义市,黔南布依族苗族自治州
"乌鲁木齐市,博尔塔拉蒙古自治州",372,乌鲁木齐市,博尔塔拉蒙古自治州
"宜宾市,成都市",372,宜宾市,成都市
"东莞市,重庆市",370,东莞市,重庆市
"漳州市,泉州市",369,漳州市,泉州市
"杭州市,苏州市",368,杭州市,苏州市
"十堰市,湖北省",367,十堰市,湖北省
"合肥市,六安市",367,合肥市,六安市
"南京市,无锡市",366,南京市,无锡市
"绍兴市,金华市",366,绍兴市,金华市
"太原市,忻州市",366,太原市,忻州市
"北京市,郑州市",364,北京市,郑州市
"宁波市,金华市",363,宁波市,金华市
"郑州市,安阳市",362,郑州市,安阳市
"上海市,南京市",361,上海市,南京市
"昆明市,西双版纳傣族自治州",361,昆明市,西双版纳傣族自治州
"清远市,广州市",361,清远市,广州市
"钦州市,南宁市",360,钦州市,南宁市
